Overall stats:
Level     |Category
----------|------------
mild      |conversation:	WER=10.39% N= 56205 C= 53101 D=1427 S=1677 I=2733
moderate  |conversation:	WER=15.25% N=  9115 C=  8151 D= 643 S= 321 I= 426
severe    |conversation:	WER=25.35% N=  7602 C=  6639 D= 417 S= 546 I= 964
mild      |command     :	WER=10.64% N= 32838 C= 29625 D= 113 S=3100 I= 282
moderate  |command     :	WER=18.31% N=  5413 C=  4537 D=  18 S= 858 I= 115
severe    |command     :	WER=18.88% N=  8480 C=  7244 D=  45 S=1191 I= 365
mild      |all         :	WER=10.48% N= 89043 C= 82726 D=1540 S=4777 I=3015
moderate  |all         :	WER=16.39% N= 14528 C= 12688 D= 661 S=1179 I= 541
severe    |all         :	WER=21.94% N= 16082 C= 13883 D= 462 S=1737 I=1329
all       |conversation:	WER=12.55% N= 72922 C= 67891 D=2487 S=2544 I=4123
all       |command     :	WER=13.03% N= 46731 C= 41406 D= 176 S=5149 I= 762
all       |all         :	WER=12.74% N=119653 C=109297 D=2663 S=7693 I=4885

Per-spk stats:
mild
----------|------------
0063      |conversation:	WER=23.03% N=4321 C=3850 D=203 S=268 I=524
0063      |command     :	WER=10.85% N=2902 C=2610 D= 15 S=277 I= 23
0063      |all         :	WER=18.14% N=7223 C=6460 D=218 S=545 I=547
0056      |conversation:	WER= 6.13% N=4602 C=4418 D= 77 S=107 I= 98
0056      |command     :	WER=11.51% N=2241 C=1993 D=  5 S=243 I= 10
0056      |all         :	WER= 7.89% N=6843 C=6411 D= 82 S=350 I=108
0066      |conversation:	WER= 5.82% N=2697 C=2582 D= 57 S= 58 I= 42
0066      |command     :	WER=14.67% N=1806 C=1614 D= 15 S=177 I= 73
0066      |all         :	WER= 9.37% N=4503 C=4196 D= 72 S=235 I=115
0070      |conversation:	WER=18.44% N=3741 C=3526 D= 83 S=132 I=475
0070      |command     :	WER= 9.83% N=2096 C=1899 D=  7 S=190 I=  9
0070      |all         :	WER=15.35% N=5837 C=5425 D= 90 S=322 I=484
0064      |conversation:	WER=14.29% N=3513 C=3339 D= 36 S=138 I=328
0064      |command     :	WER=10.25% N=2254 C=2036 D=  4 S=214 I= 13
0064      |all         :	WER=12.71% N=5767 C=5375 D= 40 S=352 I=341
0069      |conversation:	WER= 6.75% N=3379 C=3256 D= 56 S= 67 I=105
0069      |command     :	WER=10.58% N=2107 C=1902 D=  5 S=200 I= 18
0069      |all         :	WER= 8.22% N=5486 C=5158 D= 61 S=267 I=123
0065      |conversation:	WER= 8.47% N=4487 C=4241 D=112 S=134 I=134
0065      |command     :	WER=12.12% N=2227 C=1988 D=  6 S=233 I= 31
0065      |all         :	WER= 9.68% N=6714 C=6229 D=118 S=367 I=165
0067      |conversation:	WER=10.56% N=7414 C=6985 D=218 S=211 I=354
0067      |command     :	WER=10.99% N=2174 C=1949 D=  8 S=217 I= 14
0067      |all         :	WER=10.66% N=9588 C=8934 D=226 S=428 I=368
0051      |conversation:	WER= 4.21% N=2995 C=2904 D= 32 S= 59 I= 35
0051      |command     :	WER= 8.56% N=2092 C=1917 D=  7 S=168 I=  4
0051      |all         :	WER= 6.00% N=5087 C=4821 D= 39 S=227 I= 39
0057      |conversation:	WER=13.87% N=4536 C=4222 D=123 S=191 I=315
0057      |command     :	WER=10.69% N=3687 C=3318 D= 11 S=358 I= 25
0057      |all         :	WER=12.44% N=8223 C=7540 D=134 S=549 I=340
0061      |conversation:	WER= 8.38% N=1969 C=1855 D= 73 S= 41 I= 51
0061      |command     :	WER=10.87% N=2116 C=1914 D=  7 S=195 I= 28
0061      |all         :	WER= 9.67% N=4085 C=3769 D= 80 S=236 I= 79
0053      |conversation:	WER= 4.44% N=5743 C=5538 D= 90 S=115 I= 50
0053      |command     :	WER=10.82% N=1266 C=1130 D=  1 S=135 I=  1
0053      |all         :	WER= 5.59% N=7009 C=6668 D= 91 S=250 I= 51
0068      |conversation:	WER=10.56% N=3619 C=3376 D=161 S= 82 I=139
